Rainfall,Year,Month,Area
78,2023,December,Australian Capital Territory
30.9,2000,January,New South Wales
38.1,2000,February,New South Wales
239.8,2000,March,New South Wales
63.5,2000,April,New South Wales
55,2000,May,New South Wales
39.5,2000,June,New South Wales
36.2,2000,July,New South Wales
28.4,2000,August,New South Wales
33.8,2000,September,New South Wales
72.2,2000,October,New South Wales
150.8,2000,November,New South Wales
44.6,2000,December,New South Wales
135.3,2001,January,New South Wales
87,2001,February,New South Wales
75.5,2001,March,New South Wales
130,2001,April,New South Wales
362.8,2001,May,New South Wales
30.6,2001,June,New South Wales
182.9,2001,July,New South Wales
75,2001,August,New South Wales
35.3,2001,September,New South Wales
37.4,2001,October,New South Wales
87,2001,November,New South Wales
56,2001,December,New South Wales
88.1,2002,January,New South Wales
396.8,2002,February,New South Wales
77.6,2002,March,New South Wales
88,2002,April,New South Wales
137.2,2002,May,New South Wales
35,2002,June,New South Wales
29.6,2002,July,New South Wales
30.2,2002,August,New South Wales
39.5,2002,September,New South Wales
6.8,2002,October,New South Wales
46.8,2002,November,New South Wales
82.3,2002,December,New South Wales
13.4,2003,January,New South Wales
60.8,2003,February,New South Wales
161.9,2003,March,New South Wales
207.4,2003,April,New South Wales
405.4,2003,May,New South Wales
56,2003,June,New South Wales
96.9,2003,July,New South Wales
56.4,2003,August,New South Wales
2.8,2003,September,New South Wales
83.2,2003,October,New South Wales
104.5,2003,November,New South Wales
53.5,2003,December,New South Wales
63,2004,January,New South Wales
137,2004,February,New South Wales
109.9,2004,March,New South Wales
21.8,2004,April,New South Wales
14.3,2004,May,New South Wales
55,2004,June,New South Wales
60.3,2004,July,New South Wales
141.5,2004,August,New South Wales
81.4,2004,September,New South Wales
226.8,2004,October,New South Wales
82.9,2004,November,New South Wales
77.1,2004,December,New South Wales
64.5,2005,January,New South Wales
134.8,2005,February,New South Wales
109.5,2005,March,New South Wales
31.3,2005,April,New South Wales
73.6,2005,May,New South Wales
61.4,2005,June,New South Wales
86.2,2005,July,New South Wales
1.6,2005,August,New South Wales
51.9,2005,September,New South Wales
54.4,2005,October,New South Wales
116.1,2005,November,New South Wales
32.6,2005,December,New South Wales
136.6,2006,January,New South Wales
32.8,2006,February,New South Wales
54,2006,March,New South Wales
15,2006,April,New South Wales
46.2,2006,May,New South Wales
251.9,2006,June,New South Wales
178.4,2006,July,New South Wales
72.8,2006,August,New South Wales
144.7,2006,September,New South Wales
17.2,2006,October,New South Wales
49.3,2006,November,New South Wales
94.9,2006,December,New South Wales
70.8,2007,January,New South Wales
115.3,2007,February,New South Wales
65.8,2007,March,New South Wales
311.3,2007,April,New South Wales
8.2,2007,May,New South Wales
394.5,2007,June,New South Wales
55,2007,July,New South Wales
94.6,2007,August,New South Wales
49.5,2007,September,New South Wales
21.7,2007,October,New South Wales
140,2007,November,New South Wales
91.4,2007,December,New South Wales
53.8,2008,January,New South Wales
262.6,2008,February,New South Wales
63.6,2008,March,New South Wales
134.6,2008,April,New South Wales
10,2008,May,New South Wales
132.8,2008,June,New South Wales
145.2,2008,July,New South Wales
80,2008,August,New South Wales
86,2008,September,New South Wales
71.2,2008,October,New South Wales
66.8,2008,November,New South Wales
91.4,2008,December,New South Wales
36.6,2009,January,New South Wales
136.6,2009,February,New South Wales
69.6,2009,March,New South Wales
196.2,2009,April,New South Wales
232.1,2009,May,New South Wales
131.8,2009,June,New South Wales
76.8,2009,July,New South Wales
6.2,2009,August,New South Wales
15.8,2009,September,New South Wales
147.8,2009,October,New South Wales
18,2009,November,New South Wales
76.4,2009,December,New South Wales
36,2010,January,New South Wales
255.8,2010,February,New South Wales
46.6,2010,March,New South Wales
34.2,2010,April,New South Wales
273.2,2010,May,New South Wales
158.6,2010,June,New South Wales
129,2010,July,New South Wales
31,2010,August,New South Wales
